Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 01:01:44.265000,2,Yellow
0 days 01:02:12.721000,1,AllClear
0 days 01:16:30.174000,2,Yellow
0 days 01:16:58.118000,1,AllClear
0 days 01:32:35.839000,2,Yellow
