Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-04-23 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2022-04-23 14:05:00,Other,PIT EXIT CLOSED,,,,,,1
2022-04-23 14:15:02,Other,RISK OF RAIN FOR F1 SPRINT IS 40%,,,,,,1
2022-04-23 14:27:10,Drs,DRS DISABLED,DISABLED,,,,,1
2022-04-23 14:33:07,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2022-04-23 14:33:59,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1
2022-04-23 14:34:13,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1
2022-04-23 14:35:19,Other,TURN 9 INCIDENT INVOLVING CARS 24 (ZHO) AND 10 (GAS) NOTED - CAUSING A COLLISION,,,,,,2
2022-04-23 14:37:21,Other,TURN 5 INCIDENT INVOLVING CARS 20 (MAG) AND 11 (PER) NOTED - WEAVING ON STRAIGHT,,,,,,3
2022-04-23 14:38:21,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CARS 24 (ZHO) AND 10 (GAS) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,,3
2022-04-23 14:39:29,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4
2022-04-23 14:39:32,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,4
2022-04-23 14:41:06,Flag,TRACK CLEAR,,CLEAR,Track,,,4
2022-04-23 14:41:51,Flag,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - WEAVING ON STRAIGHT,,BLACK AND WHITE,Driver,,20,5
2022-04-23 14:44:08,Drs,DRS ENABLED,ENABLED,,,,,7
2022-04-23 14:54:21,Other,INCIDENT INVOLVING CARS 14 (ALO) AND 77 (BOT) NOTED - WEAVING ON STRAIGHT,,,,,,14
2022-04-23 14:55:54,Flag,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - WEAVING ON STRAIGHT,,BLACK AND WHITE,Driver,,14,16
2022-04-23 15:03:46,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,21
