Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-11-04 17:41:21,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,1
2023-11-04 18:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2023-11-04 18:05:00,Other,PIT EXIT CLOSED,,,,,,1
2023-11-04 18:15:10,Other,RISK OF RAIN FOR F1 SPRINT IS 0 %,,,,,,1
2023-11-04 18:27:05,Drs,DRS DISABLED,DISABLED,,,,,1
2023-11-04 18:33:21,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2023-11-04 18:34:37,Drs,DRS ENABLED,ENABLED,,,,,1
2023-11-04 18:39:17,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 1,,,,,2,5
2023-11-04 18:40:00,Other,CAR 2 (SAR) TIME 1:18.311 DELETED - TRACK LIMITS AT TURN 1 LAP 5 15:38:43,,,,,,6
2023-11-04 19:03:26,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,24
