Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:09:39.290000,2,Yellow
0 days 00:20:49.361000,1,AllClear
0 days 00:26:58.966000,2,Yellow
0 days 00:27:16.591000,1,AllClear
0 days 01:00:45.865000,2,Yellow
0 days 01:01:32.052000,4,SCDeployed
0 days 01:04:09.254000,1,AllClear
0 days 01:05:39.190000,2,Yellow
0 days 01:05:51.112000,4,SCDeployed
0 days 01:12:56.967000,1,AllClear
0 days 01:19:33.791000,2,Yellow
0 days 01:20:16.399000,4,SCDeployed
0 days 01:27:54.441000,1,AllClear
