Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:01:38.015000,2,Yellow
0 days 00:01:49.749000,1,AllClear
0 days 00:29:36.636000,2,Yellow
0 days 00:29:57.401000,1,AllClear
0 days 00:31:09.244000,2,Yellow
0 days 00:32:21.915000,1,AllClear
0 days 00:33:42.133000,2,Yellow
0 days 00:34:14.414000,1,AllClear
0 days 00:46:56.998000,2,Yellow
0 days 00:48:10.873000,6,VSCDeployed
0 days 00:51:23.745000,4,SCDeployed
0 days 00:57:01.382000,1,AllClear
