Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:46:27.384000,BOT,77,,1.0,1.0,,,,0 days 00:00:41.801000,0 days 00:00:41.906000,,0 days 00:45:45.561000,0 days 00:46:27.542000,309.0,240.0,278.0,288.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:44:34.562000,2021-09-11 14:33:25.663,124,1.0,False,,False,False
0 days 00:49:02.201000,BOT,77,,2.0,1.0,,,0 days 00:00:50.781000,0 days 00:00:54.555000,0 days 00:00:49.525000,0 days 00:47:18.263000,0 days 00:48:12.759000,0 days 00:49:02.417000,109.0,161.0,212.0,178.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:46:27.384000,2021-09-11 14:35:18.485,4,1.0,False,,False,False
0 days 00:51:32.920000,BOT,77,,3.0,1.0,,,0 days 00:00:48.180000,0 days 00:00:49.359000,0 days 00:00:53.212000,0 days 00:49:50.494000,0 days 00:50:39.791000,0 days 00:51:33.217000,150.0,166.0,312.0,,False,MEDIUM,3.0,True,Mercedes,0 days 00:49:02.201000,2021-09-11 14:37:53.302,41,1.0,False,,False,False
0 days 00:52:56.562000,BOT,77,0 days 00:01:23.642000,4.0,1.0,,,0 days 00:00:27.672000,0 days 00:00:28.450000,0 days 00:00:27.520000,0 days 00:52:00.675000,0 days 00:52:29.125000,0 days 00:52:56.645000,308.0,307.0,313.0,325.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:51:32.920000,2021-09-11 14:40:24.021,1,1.0,False,,False,True
0 days 00:54:20.358000,BOT,77,0 days 00:01:23.796000,5.0,1.0,,,0 days 00:00:27.842000,0 days 00:00:28.345000,0 days 00:00:27.609000,0 days 00:53:24.487000,0 days 00:53:52.832000,0 days 00:54:20.441000,306.0,306.0,313.0,313.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:52:56.562000,2021-09-11 14:41:47.663,1,1.0,False,,False,True
0 days 00:55:44.167000,BOT,77,0 days 00:01:23.809000,6.0,1.0,,,0 days 00:00:27.975000,0 days 00:00:28.146000,0 days 00:00:27.688000,0 days 00:54:48.416000,0 days 00:55:16.562000,0 days 00:55:44.250000,,306.0,314.0,310.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:54:20.358000,2021-09-11 14:43:11.459,1,1.0,False,,False,True
0 days 00:57:07.759000,BOT,77,0 days 00:01:23.592000,7.0,1.0,,,0 days 00:00:27.852000,0 days 00:00:28.102000,0 days 00:00:27.638000,0 days 00:56:12.102000,0 days 00:56:40.204000,0 days 00:57:07.842000,,307.0,312.0,311.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:55:44.167000,2021-09-11 14:44:35.268,1,1.0,False,,False,True
0 days 00:58:31.467000,BOT,77,0 days 00:01:23.708000,8.0,1.0,,,0 days 00:00:27.869000,0 days 00:00:28.171000,0 days 00:00:27.668000,0 days 00:57:35.711000,0 days 00:58:03.882000,0 days 00:58:31.550000,307.0,308.0,311.0,313.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:57:07.759000,2021-09-11 14:45:58.860,1,1.0,False,,False,True
0 days 00:59:55.007000,BOT,77,0 days 00:01:23.540000,9.0,1.0,,,0 days 00:00:27.772000,0 days 00:00:28.089000,0 days 00:00:27.679000,0 days 00:58:59.322000,0 days 00:59:27.411000,0 days 00:59:55.090000,308.0,309.0,312.0,,True,MEDIUM,9.0,True,Mercedes,0 days 00:58:31.467000,2021-09-11 14:47:22.568,1,1.0,False,,False,True
0 days 01:01:18.656000,BOT,77,0 days 00:01:23.649000,10.0,1.0,,,0 days 00:00:27.912000,0 days 00:00:28.147000,0 days 00:00:27.590000,0 days 01:00:23.002000,0 days 01:00:51.149000,0 days 01:01:18.739000,307.0,309.0,311.0,314.0,False,MEDIUM,10.0,True,Mercedes,0 days 00:59:55.007000,2021-09-11 14:48:46.108,1,1.0,False,,False,True
0 days 01:02:42.278000,BOT,77,0 days 00:01:23.622000,11.0,1.0,,,0 days 00:00:27.859000,0 days 00:00:28.212000,0 days 00:00:27.551000,0 days 01:01:46.598000,0 days 01:02:14.810000,0 days 01:02:42.361000,,309.0,312.0,312.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:01:18.656000,2021-09-11 14:50:09.757,1,1.0,False,,False,True
0 days 01:04:06.100000,BOT,77,0 days 00:01:23.822000,12.0,1.0,,,0 days 00:00:27.981000,0 days 00:00:28.161000,0 days 00:00:27.680000,0 days 01:03:10.342000,0 days 01:03:38.503000,0 days 01:04:06.183000,,309.0,312.0,313.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:02:42.278000,2021-09-11 14:51:33.379,1,1.0,False,,False,True
0 days 01:05:29.696000,BOT,77,0 days 00:01:23.596000,13.0,1.0,,,0 days 00:00:27.886000,0 days 00:00:28.139000,0 days 00:00:27.571000,0 days 01:04:34.069000,0 days 01:05:02.208000,0 days 01:05:29.779000,308.0,310.0,313.0,315.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:04:06.100000,2021-09-11 14:52:57.201,1,1.0,False,,False,True
0 days 01:06:53.417000,BOT,77,0 days 00:01:23.721000,14.0,1.0,,,0 days 00:00:27.931000,0 days 00:00:28.151000,0 days 00:00:27.639000,0 days 01:05:57.710000,0 days 01:06:25.861000,0 days 01:06:53.500000,,310.0,313.0,316.0,False,MEDIUM,14.0,True,Mercedes,0 days 01:05:29.696000,2021-09-11 14:54:20.797,1,1.0,False,,False,True
