Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:36:39.730000,BOT,77,,1.0,1.0,,,,0 days 00:00:37.003000,0 days 00:00:16.761000,,0 days 00:36:23.078000,0 days 00:36:39.901000,303.0,259.0,296.0,218.0,False,SOFT,4.0,False,Mercedes,0 days 00:35:23.625000,2021-11-13 19:33:03.308,1,1.0,False,,False,False
0 days 00:37:52.703000,BOT,77,0 days 00:01:12.973000,2.0,1.0,,,0 days 00:00:18.794000,0 days 00:00:37.335000,0 days 00:00:16.844000,0 days 00:36:58.588000,0 days 00:37:35.923000,0 days 00:37:52.767000,297.0,258.0,296.0,290.0,True,SOFT,5.0,False,Mercedes,0 days 00:36:39.730000,2021-11-13 19:34:19.413,12,1.0,False,,False,True
0 days 00:39:05.536000,BOT,77,0 days 00:01:12.833000,3.0,1.0,,,0 days 00:00:18.709000,0 days 00:00:37.352000,0 days 00:00:16.772000,0 days 00:38:11.476000,0 days 00:38:48.828000,0 days 00:39:05.600000,301.0,259.0,297.0,294.0,True,SOFT,6.0,False,Mercedes,0 days 00:37:52.703000,2021-11-13 19:35:32.386,1,1.0,False,,False,True
0 days 00:40:18.089000,BOT,77,0 days 00:01:12.553000,4.0,1.0,,,0 days 00:00:18.733000,0 days 00:00:37.033000,0 days 00:00:16.787000,0 days 00:39:24.333000,0 days 00:40:01.366000,0 days 00:40:18.153000,304.0,259.0,297.0,298.0,True,SOFT,7.0,False,Mercedes,0 days 00:39:05.536000,2021-11-13 19:36:45.219,1,1.0,False,,False,True
0 days 00:41:30.735000,BOT,77,0 days 00:01:12.646000,5.0,1.0,,,0 days 00:00:18.692000,0 days 00:00:37.214000,0 days 00:00:16.740000,0 days 00:40:36.845000,0 days 00:41:14.059000,0 days 00:41:30.799000,302.0,252.0,299.0,,False,SOFT,8.0,False,Mercedes,0 days 00:40:18.089000,2021-11-13 19:37:57.772,1,1.0,False,,False,True
0 days 00:42:43.165000,BOT,77,0 days 00:01:12.430000,6.0,1.0,,,0 days 00:00:18.595000,0 days 00:00:37.086000,0 days 00:00:16.749000,0 days 00:41:49.394000,0 days 00:42:26.480000,0 days 00:42:43.229000,306.0,260.0,300.0,299.0,True,SOFT,9.0,False,Mercedes,0 days 00:41:30.735000,2021-11-13 19:39:10.418,1,1.0,False,,False,True
0 days 00:43:55.710000,BOT,77,0 days 00:01:12.545000,7.0,1.0,,,0 days 00:00:18.593000,0 days 00:00:37.246000,0 days 00:00:16.706000,0 days 00:43:01.822000,0 days 00:43:39.068000,0 days 00:43:55.774000,299.0,260.0,301.0,300.0,False,SOFT,10.0,False,Mercedes,0 days 00:42:43.165000,2021-11-13 19:40:22.848,1,1.0,False,,False,True
0 days 00:45:08.010000,BOT,77,0 days 00:01:12.300000,8.0,1.0,,,0 days 00:00:18.682000,0 days 00:00:36.885000,0 days 00:00:16.733000,0 days 00:44:14.456000,0 days 00:44:51.341000,0 days 00:45:08.074000,303.0,260.0,300.0,294.0,True,SOFT,11.0,False,Mercedes,0 days 00:43:55.710000,2021-11-13 19:41:35.393,1,1.0,False,,False,True
0 days 00:46:20.474000,BOT,77,0 days 00:01:12.464000,9.0,1.0,,,0 days 00:00:18.610000,0 days 00:00:37.054000,0 days 00:00:16.800000,0 days 00:45:26.684000,0 days 00:46:03.738000,0 days 00:46:20.538000,302.0,263.0,301.0,298.0,False,SOFT,12.0,False,Mercedes,0 days 00:45:08.010000,2021-11-13 19:42:47.693,1,1.0,False,,False,True
0 days 00:47:32.840000,BOT,77,0 days 00:01:12.366000,10.0,1.0,,,0 days 00:00:18.635000,0 days 00:00:37.049000,0 days 00:00:16.682000,0 days 00:46:39.173000,0 days 00:47:16.222000,0 days 00:47:32.904000,303.0,260.0,301.0,296.0,False,SOFT,13.0,False,Mercedes,0 days 00:46:20.474000,2021-11-13 19:44:00.157,1,1.0,False,,False,True
0 days 00:48:45.227000,BOT,77,0 days 00:01:12.387000,11.0,1.0,,,0 days 00:00:18.674000,0 days 00:00:37.037000,0 days 00:00:16.676000,0 days 00:47:51.578000,0 days 00:48:28.615000,0 days 00:48:45.291000,304.0,261.0,300.0,300.0,False,SOFT,14.0,False,Mercedes,0 days 00:47:32.840000,2021-11-13 19:45:12.523,1,1.0,False,,False,True
0 days 00:49:57.620000,BOT,77,0 days 00:01:12.393000,12.0,1.0,,,0 days 00:00:18.636000,0 days 00:00:37.050000,0 days 00:00:16.707000,0 days 00:49:03.927000,0 days 00:49:40.977000,0 days 00:49:57.684000,305.0,261.0,301.0,297.0,False,SOFT,15.0,False,Mercedes,0 days 00:48:45.227000,2021-11-13 19:46:24.910,1,1.0,False,,False,True
0 days 00:51:10.240000,BOT,77,0 days 00:01:12.620000,13.0,1.0,,,0 days 00:00:18.722000,0 days 00:00:37.109000,0 days 00:00:16.789000,0 days 00:50:16.406000,0 days 00:50:53.515000,0 days 00:51:10.304000,304.0,261.0,300.0,302.0,False,SOFT,16.0,False,Mercedes,0 days 00:49:57.620000,2021-11-13 19:47:37.303,1,1.0,False,,False,True
0 days 00:52:22.939000,BOT,77,0 days 00:01:12.699000,14.0,1.0,,,0 days 00:00:18.682000,0 days 00:00:37.159000,0 days 00:00:16.858000,0 days 00:51:28.986000,0 days 00:52:06.145000,0 days 00:52:23.003000,305.0,261.0,301.0,296.0,False,SOFT,17.0,False,Mercedes,0 days 00:51:10.240000,2021-11-13 19:48:49.923,1,1.0,False,,False,True
0 days 00:53:35.544000,BOT,77,0 days 00:01:12.605000,15.0,1.0,,,0 days 00:00:18.738000,0 days 00:00:37.054000,0 days 00:00:16.813000,0 days 00:52:41.741000,0 days 00:53:18.795000,0 days 00:53:35.608000,306.0,256.0,301.0,,False,SOFT,18.0,False,Mercedes,0 days 00:52:22.939000,2021-11-13 19:50:02.622,1,1.0,False,,False,True
0 days 00:54:48.557000,BOT,77,0 days 00:01:13.013000,16.0,1.0,,,0 days 00:00:18.733000,0 days 00:00:37.388000,0 days 00:00:16.892000,0 days 00:53:54.341000,0 days 00:54:31.729000,0 days 00:54:48.621000,299.0,252.0,301.0,298.0,False,SOFT,19.0,False,Mercedes,0 days 00:53:35.544000,2021-11-13 19:51:15.227,1,1.0,False,,False,True
0 days 00:56:01.170000,BOT,77,0 days 00:01:12.613000,17.0,1.0,,,0 days 00:00:18.703000,0 days 00:00:37.085000,0 days 00:00:16.825000,0 days 00:55:07.324000,0 days 00:55:44.409000,0 days 00:56:01.234000,300.0,256.0,297.0,297.0,False,SOFT,20.0,False,Mercedes,0 days 00:54:48.557000,2021-11-13 19:52:28.240,1,1.0,False,,False,True
