Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-11-13 17:30:03,Other,AIR TEMPERATURE 2 HOURS BEFORE SPRINT QUALIFYING = 19 DEGREES,,,,,,1
2021-11-13 19:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-11-13 19:05:00,Other,PIT EXIT CLOSED,,,,,,1
2021-11-13 19:15:02,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING SESSION IS 0%,,,,,,1
2021-11-13 19:27:04,Drs,DRS DISABLED,DISABLED,,,,,1
2021-11-13 19:33:03,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-11-13 19:34:38,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,2
2021-11-13 19:34:40,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,2
2021-11-13 19:34:56,CarEvent,CAR 7 (RAI) SPUN AND CONTINUED AT TURN 1,,,,,7,2
2021-11-13 19:35:32,Drs,DRS ENABLED,ENABLED,,,,,3
2021-11-13 19:35:54,Other,TURN 1 INCIDENT INVOLVING CARS 7 (RAI) AND 99 (GIO) NOTED,,,,,,3
2021-11-13 19:37:55,Other,TURN 1 INCIDENT INVOLVING CARS 7 (RAI) AND 99 (GIO) NO INVESTIGATION NECESSARY,,,,,,4
2021-11-13 19:42:06,Other,CAR 9 (MAZ) TIME 1:16.702 DELETED - TRACK LIMITS AT TURN 4,,,,,,8
2021-11-13 19:53:05,Other,CAR 5 (VET) TIME 1:14.337 DELETED - TRACK LIMITS AT TURN 4,,,,,,17
2021-11-13 19:55:08,Other,CAR 18 (STR) TIME 1:14.111 DELETED - TRACK LIMITS AT TURN 4,,,,,,19
2021-11-13 19:59:31,Other,CAR 47 (MSC) TIME 1:14.904 DELETED - TRACK LIMITS AT TURN 4,,,,,,22
2021-11-13 20:00:51,Other,CAR 9 (MAZ) TIME 1:15.066 DELETED - TRACK LIMITS AT TURN 4,,,,,,23
2021-11-13 20:02:21,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,24
