Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:44:23.921000,2,Yellow
0 days 00:44:31.412000,1,AllClear
0 days 00:44:50.501000,2,Yellow
0 days 00:44:51.509000,1,AllClear
