Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:00.032000,27.2,45.9,1010.8,False,49.3,327,0.6
0 days 00:02:00.050000,27.2,46.5,1010.8,False,49.2,283,0.6
0 days 00:03:00.064000,27.0,46.6,1010.7,False,48.7,317,0.2
0 days 00:04:00.078000,27.1,47.2,1010.7,False,48.7,345,0.2
0 days 00:05:00.095000,27.2,47.1,1010.7,False,48.8,340,0.6
0 days 00:06:00.095000,27.1,46.6,1010.7,False,48.8,351,0.5
0 days 00:07:00.098000,27.2,47.0,1010.7,False,48.8,15,0.2
0 days 00:08:00.094000,27.2,47.2,1010.6,False,49.2,11,0.5
0 days 00:09:00.094000,27.2,47.0,1010.7,False,49.7,352,0.3
0 days 00:10:00.100000,27.1,46.3,1010.6,False,49.7,288,0.2
0 days 00:11:00.097000,27.4,46.0,1010.5,False,49.4,306,0.5
0 days 00:12:00.095000,27.4,46.0,1010.6,False,49.7,341,0.5
0 days 00:13:00.096000,27.2,45.9,1010.7,False,49.7,336,0.6
0 days 00:14:00.094000,27.2,46.3,1010.6,False,49.6,7,0.2
0 days 00:15:00.093000,27.2,46.3,1010.6,False,48.9,346,0.5
0 days 00:16:00.095000,27.2,45.6,1010.7,False,49.3,0,0.8
0 days 00:17:00.095000,27.3,46.2,1010.6,False,49.0,338,0.8
0 days 00:18:00.103000,27.3,45.4,1010.5,False,48.3,346,0.7
0 days 00:19:00.094000,27.3,46.5,1010.7,False,48.3,286,0.3
0 days 00:20:00.093000,27.3,47.6,1010.6,False,48.1,2,0.3
0 days 00:21:00.095000,27.0,47.1,1010.6,False,48.7,347,0.7
0 days 00:22:00.135000,27.0,45.8,1010.5,False,49.1,359,0.5
0 days 00:23:00.093000,27.1,45.3,1010.5,False,48.9,310,0.6
0 days 00:24:00.095000,27.1,46.3,1010.5,False,48.9,8,0.1
0 days 00:25:00.092000,27.3,45.7,1010.4,False,49.1,16,0.6
0 days 00:26:00.094000,27.3,46.3,1010.6,False,49.1,9,0.4
0 days 00:27:00.094000,27.3,46.6,1010.5,False,49.1,2,0.6
0 days 00:28:00.094000,27.3,46.1,1010.4,False,49.2,341,0.6
0 days 00:29:00.095000,27.3,45.3,1010.5,False,49.1,355,0.6
0 days 00:30:00.093000,27.3,45.6,1010.5,False,49.1,352,0.3
0 days 00:31:00.093000,27.3,45.3,1010.5,False,49.2,13,0.3
0 days 00:32:00.096000,27.3,46.0,1010.5,False,48.7,3,0.3
0 days 00:33:00.095000,27.2,44.9,1010.5,False,48.4,300,0.2
0 days 00:34:00.111000,27.2,44.7,1010.5,False,48.4,305,0.3
0 days 00:35:00.110000,27.3,45.1,1010.5,False,48.4,341,0.2
0 days 00:36:00.112000,27.4,45.2,1010.5,False,48.6,350,0.1
0 days 00:37:00.111000,27.6,44.5,1010.4,False,48.8,354,0.4
0 days 00:38:00.145000,27.6,43.7,1010.5,False,48.6,348,0.5
0 days 00:39:00.143000,27.6,44.8,1010.5,False,48.6,3,0.5
0 days 00:40:00.148000,27.6,45.6,1010.5,False,48.2,17,0.6
0 days 00:41:00.142000,27.4,45.4,1010.5,False,48.2,339,0.6
0 days 00:42:00.143000,27.4,44.8,1010.5,False,48.3,7,0.4
0 days 00:43:00.157000,27.5,45.3,1010.4,False,47.9,333,0.6
0 days 00:44:00.158000,27.6,45.4,1010.5,False,47.9,2,0.4
0 days 00:45:00.158000,27.5,46.0,1010.5,False,48.3,11,0.7
0 days 00:46:00.177000,27.5,47.0,1010.6,False,48.4,8,0.9
0 days 00:47:00.191000,27.5,46.2,1010.5,False,48.6,8,0.7
0 days 00:48:00.191000,27.5,46.1,1010.5,False,48.7,6,0.9
0 days 00:49:00.195000,27.1,46.4,1010.5,False,47.8,7,0.4
0 days 00:50:00.190000,27.2,46.1,1010.4,False,47.5,359,0.3
0 days 00:51:00.192000,27.4,46.1,1010.5,False,47.4,328,0.3
0 days 00:52:00.209000,27.3,46.1,1010.4,False,47.3,4,0.5
0 days 00:53:00.216000,27.4,45.9,1010.5,False,48.1,340,0.6
0 days 00:54:00.194000,27.4,45.9,1010.4,False,48.1,21,0.3
0 days 00:55:00.211000,27.6,45.6,1010.4,False,47.4,1,0.3
0 days 00:56:00.233000,27.6,45.6,1010.5,False,47.4,5,0.4
0 days 00:57:00.232000,27.5,45.5,1010.4,False,47.5,8,0.6
0 days 00:58:00.229000,27.5,45.3,1010.4,False,47.9,14,0.6
0 days 00:59:00.223000,27.5,45.6,1010.5,False,47.9,16,0.6
0 days 01:00:00.225000,27.5,45.3,1010.4,False,48.1,16,0.6
0 days 01:01:00.233000,27.5,45.4,1010.4,False,48.1,352,0.6
0 days 01:02:00.230000,27.5,45.3,1010.4,False,47.5,354,0.5
0 days 01:03:00.231000,27.7,44.6,1010.3,False,47.4,230,0.3
0 days 01:04:00.239000,27.7,44.9,1010.4,False,47.7,12,0.4
0 days 01:05:00.246000,27.8,44.3,1010.4,False,47.3,352,0.4
0 days 01:06:00.238000,27.9,44.7,1010.5,False,47.3,359,0.4
0 days 01:07:00.237000,27.8,44.2,1010.4,False,47.2,345,0.3
0 days 01:08:00.250000,27.8,44.6,1010.4,False,47.3,216,0.2
0 days 01:09:00.226000,27.7,44.4,1010.4,False,47.1,302,0.4
0 days 01:10:00.230000,27.7,45.6,1010.4,False,46.9,251,0.4
0 days 01:11:00.229000,27.7,45.6,1010.3,False,46.9,197,0.1
0 days 01:12:00.224000,27.5,45.3,1010.4,False,46.9,357,0.3
